G,GS,Position,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
77.0,23.0,4,1900.0,3.8,9.9,0.388,2.6,6.9,0.374,1.3,3,0.42,1.2,1.6,0.756,0.5,4,4.5,2.3,1.4,0.4,1.7,3.4,11.5
59.0,3.0,5,636.0,2.7,6.6,0.402,0,0.1,0,2.7,6.6,0.405,1.1,1.5,0.704,2.7,4.8,7.5,1.1,0.7,1.1,1.4,5,6.4
2.0,0.0,5,12.0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,0,0,0,3,12,0
42.0,20.0,4,927.0,4.9,10.4,0.47,0,0,0,4.9,10.4,0.47,1.5,2.7,0.551,2.7,7.3,10,1.4,1.4,0.9,2.2,4.5,11.3
18.0,6.0,4,421.0,5.6,12.1,0.458,0,0,0,5.6,12.1,0.458,1.9,3.2,0.579,2.7,7.5,10.2,1.7,1,0.9,2.3,3.9,13
24.0,14.0,4,506.0,4.3,9,0.484,0,0,0,4.3,9,0.484,1.1,2.2,0.516,2.8,7,9.8,1.1,1.8,0.9,2.1,5.1,9.8
67.0,67.0,2,2675.0,8.8,21.1,0.417,2.3,6.9,0.339,6.4,14.2,0.455,5.4,6.7,0.796,1.3,4.1,5.4,5,1.3,0.6,2.4,1.7,25.3
70.0,57.0,2,2365.0,5.1,11.4,0.447,0.7,1.9,0.362,4.4,9.4,0.465,1.7,2.2,0.797,0.5,2.2,2.7,6.5,1.1,0.1,1.8,2.5,12.6
39.0,26.0,2,1269.0,5.6,11.8,0.471,0.4,1.3,0.319,5.1,10.5,0.491,1.6,2.2,0.763,0.5,2.2,2.7,5.6,1,0.1,1.7,2.7,13.2
31.0,31.0,1,1096.0,4.5,10.9,0.417,1,2.6,0.388,3.5,8.2,0.426,1.8,2.2,0.836,0.6,2.1,2.7,7.7,1.2,0.1,1.9,2.3,11.9
75.0,41.0,3,2112.0,4.5,9.8,0.459,1.3,2.9,0.436,3.2,6.9,0.469,1.4,1.9,0.757,0.8,3.5,4.3,3.3,1.4,0.4,1.8,2.4,11.7
33.0,0.0,1,391.0,2.5,7.5,0.329,0.1,0.9,0.1,2.4,6.6,0.361,3,4,0.767,0.5,2.7,3.1,5.4,1.5,0.1,2.7,3.6,8.1
68.0,38.0,4,1442.0,5.9,13.4,0.441,0,0.1,0,5.9,13.3,0.444,2.2,2.9,0.767,3.7,4.9,8.6,1.4,0.9,0.4,1.5,4.8,14.1
39.0,0.0,2,516.0,6.3,14.7,0.427,0.1,0.5,0.286,6.1,14.2,0.431,0.9,1.2,0.765,0.7,2.7,3.4,1.5,1,0.3,1.8,2.6,13.6
76.0,17.0,5,1330.0,5,10.3,0.488,0,0,0,5,10.3,0.488,3,4.5,0.663,4.2,7,11.2,0.6,1,1.7,2.4,5.6,13
22.0,1.0,5,391.0,5.4,11.7,0.465,0,0,0,5.4,11.7,0.465,3.1,4.4,0.708,4.3,8.6,12.9,0.9,0.8,2,2.3,5.3,14
54.0,16.0,5,939.0,4.9,9.7,0.5,0,0,0,4.9,9.7,0.5,2.9,4.5,0.644,4.2,6.3,10.5,0.4,1.1,1.6,2.5,5.8,12.7
79.0,56.0,3,2079.0,6.3,13,0.485,0.1,0.7,0.175,6.2,12.3,0.502,2.1,3.3,0.642,1.9,4.3,6.2,2.8,1.2,1.1,2.3,2.9,14.9
37.0,16.0,3,888.0,5.8,13.4,0.432,0.2,1.2,0.167,5.6,12.2,0.458,1.6,2.9,0.542,1.9,4.8,6.8,3.2,1,1.1,2.3,3.4,13.4
42.0,40.0,3,1191.0,6.7,12.8,0.526,0.1,0.3,0.2,6.6,12.5,0.534,2.6,3.7,0.702,1.9,3.9,5.8,2.5,1.3,1,2.2,2.5,16.1
34.0,0.0,5,159.0,3.8,14.7,0.262,0,0.2,0,3.8,14.5,0.266,3.2,5.4,0.583,2.5,7.2,9.7,1.6,1.6,3.4,2.9,7.5,10.9
82.0,82.0,1,2838.0,5.5,11.9,0.457,0.2,0.8,0.185,5.3,11.1,0.477,4.3,5.2,0.832,1.6,3,4.6,6.4,1.8,0.3,2.7,2.5,15.4
72.0,53.0,4,2621.0,5.1,10,0.51,0.2,0.5,0.316,5,9.5,0.521,3.5,4.5,0.778,2.6,7.6,10.2,4.3,0.9,1.2,2,3.4,13.9
65.0,65.0,3,1770.0,5.5,12.5,0.438,1.6,4.4,0.372,3.9,8.2,0.474,2.1,2.9,0.723,0.9,3.5,4.4,4.7,1.2,0.3,2.2,3.3,14.7
48.0,1.0,5,506.0,3.8,7.1,0.53,0,0.1,0,3.8,7,0.535,1.1,1.6,0.652,3.3,6,9.2,2.6,1.4,1.8,2.3,6.5,8.6
80.0,80.0,2,2254.0,4.2,9.5,0.438,2.1,5.3,0.401,2,4.2,0.485,2.3,2.6,0.885,0.3,2.7,3,4,1,0.2,1.1,1.5,12.8
82.0,82.0,5,2692.0,7.2,13.7,0.522,0,0,0,7.2,13.7,0.523,4.8,6,0.809,2.6,7.2,9.8,1.6,0.3,2.1,2.7,3.7,19.1
80.0,80.0,2,3229.0,5.1,12.1,0.426,1.8,4.7,0.39,3.3,7.4,0.448,2,2.4,0.811,0.4,3.6,4,2.9,1.2,0.4,2,2,14
80.0,24.0,5,1611.0,5.5,10.5,0.521,0,0,0,5.5,10.5,0.521,2.2,3.8,0.592,4,6.6,10.6,0.8,1.2,1.2,2.1,4.4,13.2
53.0,1.0,5,938.0,5.3,10.7,0.493,0,0,0,5.3,10.7,0.493,2.6,4.2,0.627,3.9,6.4,10.2,0.8,0.8,1,2.1,4.3,13.2
27.0,23.0,5,673.0,5.8,10.3,0.563,0,0,0,5.8,10.3,0.563,1.7,3.2,0.525,4.1,7,11.1,0.9,1.8,1.3,2.2,4.4,13.2
35.0,1.0,4,417.0,3.5,7.3,0.476,0,0.1,0,3.5,7.2,0.482,1.9,3.3,0.579,3.5,6.2,9.8,0.7,1.5,1,2.2,3.6,8.8
32.0,0.0,4,395.0,4.6,9,0.505,0,0,0,4.6,9,0.505,2.7,3.2,0.857,2.6,5,7.7,1.7,0.6,1.2,2,5.9,11.8
4.0,0.0,4,10.0,3.6,18,0.2,0,0,0,3.6,18,0.2,0,0,0,3.6,3.6,7.2,0,0,0,0,3.6,7.2
28.0,0.0,4,385.0,4.6,8.8,0.521,0,0,0,4.6,8.8,0.521,2.8,3.3,0.857,2.6,5,7.7,1.8,0.7,1.2,2.1,6,12
12.0,0.0,5,215.0,5.5,11.9,0.465,0,0,0,5.5,11.9,0.465,5,5.7,0.882,1.3,3.2,4.5,1.3,0.3,1,1.7,5.4,16.1
28.0,0.0,4,610.0,6.3,14.3,0.44,0.3,1,0.294,6,13.3,0.451,3.5,4.7,0.75,2.8,7.4,10.2,1.2,0.7,1,2,3.4,16.5
33.0,4.0,3,518.0,5.3,14.9,0.353,1.5,4.2,0.35,3.8,10.8,0.355,1.7,2.4,0.686,1,5.3,6.3,1.9,1,0.5,2.6,3.3,13.7
82.0,18.0,1,2021.0,6.9,16.3,0.425,1.2,4.1,0.293,5.7,12.2,0.469,3,4.2,0.715,0.8,2.8,3.6,3.7,1.4,0.5,2.7,2.8,18
7.0,0.0,3,35.0,3.1,12.3,0.25,2.1,5.1,0.4,1,7.2,0.143,0,1,0,3.1,2.1,5.1,1,1,0,2.1,3.1,8.2
65.0,56.0,5,1494.0,3.4,7.1,0.478,0,0,0,3.4,7.1,0.478,2,2.9,0.681,3.5,7,10.5,0.6,0.4,3,1.3,3.4,8.7
