G,GS,Position,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
9.0,0.0,2,132.0,3.5,10.6,0.333,2.2,5.2,0.421,1.4,5.5,0.25,1.6,1.6,1,0.5,6.3,6.8,1.4,0.8,0.3,1.1,1.4,10.9
82.0,29.0,3,2148.0,4,9.8,0.405,2.1,5.7,0.371,1.9,4.1,0.453,1.3,1.6,0.809,0.6,3.8,4.4,1.9,1.5,0.2,1.2,3.5,11.4
49.0,0.0,3,703.0,3.7,9.8,0.377,2.2,6.2,0.352,1.5,3.5,0.42,0.7,0.8,0.875,0.5,3.2,3.7,1.3,0.8,0.3,1.5,2.2,10.3
80.0,80.0,2,3099.0,7,17.4,0.402,1.3,4.5,0.299,5.7,12.9,0.438,6,7.3,0.819,0.8,5.3,6.1,4.8,1.5,0.6,3.5,2.7,21.3
53.0,22.0,1,748.0,4.6,11.1,0.416,1.7,5.1,0.333,2.9,6.1,0.484,2.5,3.6,0.693,2.3,3.4,5.7,1.3,1.5,0.6,1.9,4.8,13.4
23.0,6.0,3,412.0,4.6,12.2,0.379,1.1,4.2,0.271,3.5,8,0.435,1.5,2.4,0.63,1.7,4.2,5.9,4.4,1.8,0.8,2.5,3.3,11.9
49.0,1.0,2,473.0,4,9.8,0.411,0.7,2.4,0.281,3.3,7.4,0.454,2.9,4.6,0.633,1.1,3.1,4.2,5.2,1,0.2,2.7,5.3,11.6
61.0,3.0,5,678.0,2.5,6.1,0.412,0,0,0,2.5,6.1,0.412,0.6,1.1,0.571,3.6,5.2,8.7,0.5,1.2,1.4,1.2,5.8,5.6
2.0,0.0,5,12.0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,3,0,12,6,0
4.0,0.0,4,20.0,1.8,3.6,0.5,0,0,0,1.8,3.6,0.5,0,1.8,0,0,5.4,5.4,0,1.8,0,5.4,14.4,3.6
82.0,82.0,2,2451.0,5.4,11.3,0.478,1.6,4.3,0.386,3.8,7.1,0.533,4.1,4.9,0.83,1.4,4.6,5.9,1.8,2,0.6,1.6,3.6,16.5
65.0,39.0,5,1419.0,5.1,10.4,0.489,0,0,0,5.1,10.4,0.489,1.5,2.3,0.641,2.6,4.8,7.3,1.3,0.6,0.7,2,4.1,11.6
82.0,80.0,3,2701.0,4.5,9.6,0.467,0.8,2.1,0.363,3.7,7.5,0.496,1.4,1.9,0.766,1.2,4,5.2,2.5,0.8,0.9,1.6,2,11.2
17.0,12.0,5,347.0,1.9,5.2,0.36,0,0,0,1.9,5.2,0.36,1.3,3.2,0.419,3.3,8.2,11.5,0.7,0.5,1.8,1.9,5.5,5.1
5.0,0.0,5,33.0,0,0,0,0,0,0,0,0,0,1.1,2.2,0.5,1.1,9.8,10.9,3.3,0,0,2.2,5.5,1.1
12.0,12.0,5,314.0,2.1,5.7,0.36,0,0,0,2.1,5.7,0.36,1.4,3.3,0.414,3.6,8,11.6,0.5,0.6,1.9,1.8,5.5,5.5
77.0,38.0,4,2321.0,5.4,12.6,0.425,2.2,5.8,0.371,3.2,6.7,0.471,1.5,2,0.748,1.6,4.7,6.3,2.2,1.2,0.7,1.7,2.9,14.3
81.0,80.0,4,3067.0,7.8,16.1,0.485,0,0.1,0.2,7.8,16,0.486,3.5,4.6,0.761,2.8,7.1,10,1.9,0.8,0.5,2.9,2.7,19.1
85.0,83.0,5,2664.0,3.6,7.4,0.485,0,0,0,3.6,7.4,0.485,1.9,2.9,0.645,2.6,5.7,8.3,1,0.7,4.1,1.6,4.1,9.1
53.0,52.0,5,1648.0,3.7,8.1,0.458,0,0,0,3.7,8.1,0.458,2.1,3.2,0.653,2.3,6,8.3,1.1,0.7,3.6,1.9,4.1,9.6
32.0,31.0,5,1016.0,3.4,6.2,0.54,0,0,0,3.4,6.2,0.54,1.6,2.5,0.629,3.2,5.1,8.3,0.7,0.9,5,1.2,3.9,8.3
24.0,2.0,5,273.0,4.5,10.2,0.442,0,0,0,4.5,10.2,0.442,3,4,0.767,3,4.6,7.6,0.8,0.7,1.5,2.2,6.9,12
21.0,2.0,5,222.0,3.6,8.8,0.407,0,0,0,3.6,8.8,0.407,3.6,4.5,0.786,3.1,4.9,7.9,0.6,0.8,1.5,2.1,7.3,10.7
3.0,0.0,5,51.0,8.5,16.2,0.522,0,0,0,8.5,16.2,0.522,0.7,1.4,0.5,2.8,3.5,6.4,1.4,0,1.4,2.8,4.9,17.6
82.0,82.0,2,3021.0,7.5,17.1,0.44,1.5,4.3,0.35,6,12.8,0.47,4.6,5.3,0.868,1.4,3.4,4.9,2.2,1,0.1,1.4,1.8,21.2
18.0,0.0,3,262.0,3,10.4,0.289,0.7,3.8,0.179,2.3,6.6,0.354,2.3,2.3,1,1.2,4.4,5.6,3.3,0.8,0,1.8,3,9.1
78.0,78.0,2,2936.0,6.9,15.7,0.438,0.9,3.3,0.282,6,12.4,0.481,3.2,4.6,0.684,1.5,4.9,6.4,2.8,1.1,0.5,2.4,2.2,17.9
65.0,64.0,2,2338.0,6.5,16.4,0.398,1.8,5.3,0.352,4.7,11.2,0.42,2.3,3.1,0.74,2.2,4.1,6.4,2.1,1,0.3,2.2,2,17.3
69.0,6.0,1,1114.0,4.7,11.3,0.414,0.9,2.6,0.338,3.8,8.7,0.437,2.1,2.6,0.823,1.1,2.4,3.5,5.3,1.7,0.2,2.6,3.4,12.3
82.0,82.0,4,2846.0,4.6,12,0.387,1.4,4,0.357,3.2,8,0.403,1.6,2.2,0.711,0.7,3.4,4.1,3.4,0.9,0.9,2.2,3,12.2
51.0,4.0,3,1024.0,5.5,11.5,0.482,0,0.2,0.2,5.5,11.3,0.486,1,1.5,0.651,0.9,2.7,3.7,2,1.2,0.4,1.6,2,12.1
42.0,42.0,3,1336.0,7.4,16.5,0.448,0.9,2.7,0.34,6.5,13.9,0.469,3.1,3.7,0.832,1.2,3.9,5.1,1.5,1.1,0.2,2.9,2.6,18.8
69.0,15.0,4,1409.0,5.3,12.9,0.41,1.3,3.9,0.329,4,9,0.445,1.9,2.5,0.765,2.6,5.3,7.8,3.5,1.5,0.7,2.5,4.7,13.8
55.0,0.0,5,595.0,3.3,9.1,0.358,0,0.1,0,3.3,9.1,0.36,2,2.2,0.892,1.5,4.4,5.9,1.8,0.8,0.6,1.3,5.4,8.5
35.0,0.0,5,325.0,3.8,10.4,0.362,0,0,0,3.8,10.4,0.362,1.3,1.7,0.8,1.1,4.4,5.5,1.2,1,0.6,1.7,5.3,8.9
20.0,0.0,5,270.0,2.7,7.6,0.351,0,0.1,0,2.7,7.5,0.357,2.8,2.9,0.955,1.9,4.4,6.3,2.4,0.7,0.7,0.9,5.5,8.1
66.0,64.0,3,2497.0,5.5,13.7,0.402,1,2.9,0.342,4.5,10.8,0.419,2.7,3.3,0.81,0.5,3.3,3.8,4.7,0.7,0.3,3,2.7,14.7
16.0,14.0,3,529.0,5.1,13.6,0.375,1.6,3.7,0.426,3.5,9.9,0.356,2.7,3.5,0.765,0.5,3.9,4.4,3.8,0.8,0.3,2.5,3.1,14.4
50.0,50.0,3,1968.0,5.6,13.8,0.41,0.8,2.7,0.311,4.8,11,0.434,2.7,3.3,0.822,0.5,3.2,3.7,5,0.7,0.3,3.1,2.5,14.8
67.0,13.0,4,1256.0,5,11.6,0.428,0,0.1,0,5,11.5,0.431,5.2,6.4,0.813,3.2,6,9.2,2,1,0.7,3.2,4.7,15.2
41.0,23.0,4,733.0,1.9,5.7,0.325,0,0,0,1.9,5.7,0.325,0.8,1.9,0.421,3.8,6.3,10.2,2,1.1,1,2.1,5.1,4.5
72.0,15.0,2,1244.0,5.5,12.5,0.44,1.4,4,0.348,4.1,8.5,0.483,0.9,1.5,0.596,0.6,2.2,2.8,1.7,1,0.6,1.4,3.2,13.3
72.0,1.0,3,945.0,3.7,9.3,0.402,1.6,4.3,0.384,2.1,5,0.417,1.9,2.5,0.769,1.2,4.3,5.6,2.7,1.2,0.5,1.4,4.2,11
77.0,24.0,2,1603.0,3.6,9.3,0.387,1.1,3.3,0.34,2.5,6,0.413,1.6,2.1,0.772,0.9,3.5,4.4,3,1.4,0.4,1.7,2.7,9.9
10.0,2.0,5,130.0,3,6.4,0.478,0,0,0,3,6.4,0.478,1.9,3.3,0.583,6.4,8,14.4,1.9,0.6,1.1,1.7,4.4,8
54.0,28.0,5,708.0,4,8.3,0.479,0,0,0,4,8.3,0.479,3.1,4.6,0.678,1.8,4.9,6.7,1.2,1,1.1,1.6,5,11
69.0,2.0,4,928.0,3.3,8.5,0.394,0.4,1.6,0.244,2.9,6.9,0.429,2.3,2.7,0.829,1.6,5.1,6.7,2.5,0.8,0.5,1.6,4.4,9.3
57.0,2.0,3,583.0,5,11,0.455,0.4,1.3,0.286,4.6,9.7,0.478,2,2.8,0.696,2.7,3,5.7,1.2,1.2,1.2,1.4,4.1,12.3
7.0,0.0,4,86.0,4.2,9.6,0.435,0,0.4,0,4.2,9.2,0.455,0.4,1.3,0.333,3.3,3.3,6.7,1.7,0.4,0.4,3.8,3.8,8.8
56.0,8.0,3,1376.0,3.8,9.8,0.394,0.1,0.3,0.167,3.8,9.4,0.402,3.7,4.4,0.834,3,3.8,6.9,2.5,1.3,0.4,1.9,4.4,11.4
56.0,54.0,5,1577.0,5.8,11.7,0.497,0,0,0,5.8,11.7,0.497,1.8,3.2,0.572,2.7,6.7,9.4,1.1,0.7,1.4,1.8,3.8,13.4
22.0,0.0,2,165.0,4.6,13.1,0.35,0.9,2.6,0.333,3.7,10.5,0.354,1.5,3.1,0.5,2.2,3.3,5.5,3.1,1.5,0.2,2.4,4.4,11.6
31.0,0.0,5,168.0,5.6,15,0.371,0,0.6,0,5.6,14.4,0.388,2.6,4.3,0.6,2.4,4.3,6.6,2.4,0.4,1.3,1.5,5.4,13.7
76.0,76.0,4,2254.0,5,11.3,0.439,0,0.1,0.2,5,11.2,0.441,3.3,3.8,0.859,3.7,6.6,10.3,1.2,0.8,1.5,1.3,3.3,13.3
1.0,0.0,5,4.0,9,18,0.5,0,0,0,9,18,0.5,0,0,0,9,9,18,0,0,0,0,9,18
71.0,4.0,2,929.0,4.6,11.4,0.406,1.7,4.1,0.402,2.9,7.2,0.409,3,3.2,0.928,1,2.1,3.1,2.2,0.6,0.2,1.6,3.5,13.9
20.0,0.0,3,178.0,3.2,8.7,0.372,1.2,2.4,0.5,2,6.3,0.323,1.2,1.6,0.75,2.6,5.7,8.3,1.4,1,1,2.8,3.6,8.9
82.0,82.0,1,2966.0,3.6,8.7,0.413,0,0.2,0.111,3.6,8.5,0.42,3.1,3.8,0.797,0.8,2.7,3.4,6.8,1.2,0.1,2.3,2.6,10.2
73.0,7.0,4,976.0,4.9,10.1,0.487,0,0,0,4.9,10.1,0.487,2.6,3.2,0.807,3.4,4.9,8.3,1.8,1.5,0.4,1.6,4.6,12.4
82.0,82.0,3,3100.0,6,14.7,0.409,1.1,3.5,0.331,4.9,11.2,0.433,2.8,3.4,0.814,0.7,2.9,3.6,3.3,1,0.2,1.8,1.2,16
26.0,17.0,3,774.0,6,14.9,0.399,1.1,3,0.354,4.9,11.9,0.41,3.9,4.8,0.806,0.7,3.6,4.4,4.8,1.1,0.1,4.1,2.3,16.8
42.0,2.0,5,453.0,3.4,8.2,0.417,0,0,0,3.4,8.2,0.417,1.7,2.9,0.611,4,6,9.9,1.8,0.9,1.2,1.5,4.8,8.6
80.0,78.0,2,2444.0,5.5,12.8,0.432,0.3,1,0.268,5.3,11.8,0.446,2,3,0.676,1.2,3.2,4.4,2.3,0.8,0.3,1.8,2.1,13.4
54.0,54.0,2,1511.0,6.2,14,0.445,0.2,0.7,0.233,6.1,13.2,0.457,2.1,3.2,0.669,1,3.2,4.2,2.2,0.7,0.4,1.9,2,14.7
26.0,24.0,3,933.0,4.4,11,0.404,0.5,1.6,0.293,4,9.4,0.422,1.9,2.7,0.69,1.4,3.2,4.6,2.5,0.9,0,1.5,2.1,11.2
25.0,2.0,5,147.0,1.2,2.9,0.417,0,0,0,1.2,2.9,0.417,0.7,1,0.75,2,5.1,7.1,0,0.5,2.4,0.7,8.3,3.2
8.0,2.0,5,76.0,1.4,3.3,0.429,0,0,0,1.4,3.3,0.429,0.9,0.9,1,2.4,6.2,8.5,0,0.5,3.8,0.5,9.9,3.8
17.0,0.0,5,71.0,1,2.5,0.4,0,0,0,1,2.5,0.4,0.5,1,0.5,1.5,4.1,5.6,0,0.5,1,1,6.6,2.5
81.0,81.0,3,3264.0,7.3,15.3,0.48,2.6,6.1,0.433,4.7,9.2,0.511,4.3,4.7,0.927,1,4.6,5.6,1.9,1.2,0.2,1.7,1.8,21.7
82.0,82.0,1,3118.0,4.7,11.8,0.401,1.8,4.9,0.365,2.9,6.8,0.426,1.5,1.7,0.876,0.6,3,3.6,5.8,1.1,0.1,2.1,2,12.7
55.0,53.0,4,2025.0,7.3,15.4,0.475,0,0.1,0.2,7.3,15.3,0.477,5.5,7.7,0.713,2.8,6,8.8,1.4,1.1,1.6,3.1,3.3,20.1
43.0,0.0,1,571.0,5,12.4,0.403,1.8,4.2,0.439,3.2,8.2,0.385,2.8,3.2,0.863,0.8,3.7,4.5,5.7,1.6,0.1,3.4,4,14.6
61.0,10.0,1,1197.0,4.5,10.6,0.425,0.3,1.1,0.278,4.2,9.5,0.442,2.2,2.9,0.735,1,3.6,4.7,7.3,1.1,0.3,2.6,2.3,11.5
46.0,9.0,1,915.0,4.8,10.6,0.454,0.4,1.3,0.303,4.4,9.3,0.475,2.2,3,0.75,0.9,3.7,4.6,7.3,1.1,0.3,2.6,2.3,12.2
15.0,1.0,1,282.0,3.6,10.7,0.333,0,0.4,0,3.6,10.3,0.346,1.9,2.8,0.682,1.3,3.4,4.7,7.5,1,0.5,2.3,2.2,9.1
5.0,0.0,5,33.0,4.4,10.9,0.4,0,0,0,4.4,10.9,0.4,3.3,6.5,0.5,2.2,8.7,10.9,1.1,0,0,3.3,9.8,12
4.0,0.0,5,29.0,3.7,11.2,0.333,0,0,0,3.7,11.2,0.333,3.7,7.4,0.5,2.5,9.9,12.4,0,0,0,3.7,8.7,11.2
1.0,0.0,5,4.0,9,9,1,0,0,0,9,9,1,0,0,0,0,0,0,9,0,0,0,18,18
80.0,18.0,2,1663.0,4.4,10.5,0.416,0.5,1.7,0.266,3.9,8.8,0.446,3.7,4.9,0.757,2.2,4.9,7.1,5,1.3,0.3,2.3,3.4,12.9
53.0,0.0,2,707.0,3.6,8.8,0.41,0.5,1.8,0.25,3.2,7,0.453,2.4,3.5,0.696,1.5,3.7,5.2,4.5,1.9,0.5,2,4.4,10.1
27.0,18.0,2,956.0,4.9,11.7,0.42,0.5,1.6,0.279,4.5,10.1,0.442,4.6,5.9,0.783,2.6,5.8,8.4,5.4,0.9,0.2,2.5,2.7,14.9
42.0,1.0,4,494.0,5,10.2,0.493,0,0.1,0,5,10.1,0.496,3.1,4.2,0.724,5,6.5,11.4,1,1.3,0.9,2.3,4.2,13.1
77.0,10.0,4,1528.0,6.3,13.5,0.469,0,0.1,0.25,6.3,13.4,0.471,4.5,6.2,0.725,3.3,5.6,8.9,0.9,1.3,2.8,2.1,4.4,17.1
28.0,0.0,3,622.0,6.1,13.7,0.449,1.2,2.7,0.435,5,11,0.453,3.1,3.7,0.828,1.4,3.7,5.1,1.9,0.7,0.1,1.6,2.4,16.5
75.0,10.0,4,2081.0,6.3,13.2,0.48,0,0,0,6.3,13.2,0.481,2.2,3,0.736,2.3,4.4,6.6,1.9,0.7,0.8,2.6,4.4,14.9
81.0,78.0,1,3018.0,6,14.3,0.417,1.7,5,0.347,4.2,9.2,0.455,2.6,3.1,0.827,0.6,3.4,4,5.2,1.5,0.2,2.7,2.3,16.2
79.0,15.0,5,1901.0,4.9,10,0.489,0,0,0,4.9,10,0.489,3.6,5.6,0.647,3.5,6.5,10,1.3,0.7,2.3,2.1,4.1,13.4
74.0,72.0,4,2699.0,5.1,10.8,0.469,0,0.1,0.2,5.1,10.8,0.47,3.2,4.3,0.752,3.5,6.5,10,1.5,1.1,0.4,2.3,2.9,13.4
80.0,75.0,4,2548.0,5.5,11.7,0.473,0,0,0,5.5,11.7,0.475,1.5,1.8,0.835,2,7.3,9.4,2.1,0.8,1.1,1.9,4.2,12.6
66.0,65.0,3,2089.0,6.3,14,0.446,1.3,3.3,0.376,5,10.7,0.468,2.9,3.8,0.784,1.1,4.4,5.5,2.1,1.1,0.3,2,3.4,16.7
42.0,42.0,3,1343.0,6.1,13.7,0.443,1.3,3.5,0.362,4.8,10.2,0.471,2.5,3.3,0.762,1,4.5,5.5,2.4,1.1,0.4,2,3.4,15.9
24.0,23.0,3,746.0,6.6,14.6,0.452,1.3,3.1,0.406,5.4,11.5,0.464,3.8,4.6,0.813,1.3,4.3,5.5,1.6,1.2,0.2,2.1,3.3,18.2
52.0,43.0,1,1378.0,4,9.7,0.414,2,5.4,0.372,2,4.3,0.466,1.3,1.8,0.731,0.7,2.8,3.6,7.9,2.2,0.4,2.9,3.4,11.3
71.0,0.0,5,942.0,5.5,11,0.505,0.1,0.2,0.4,5.5,10.8,0.507,2.7,4.9,0.547,4.1,6,10,1.6,1.5,1.4,2.4,6.2,13.8
68.0,2.0,5,1025.0,5.4,11.5,0.473,0,0.2,0,5.4,11.3,0.481,2.4,3.2,0.758,2.9,4.7,7.6,1.7,0.4,0.6,1.9,4.5,13.3
11.0,0.0,2,96.0,3.7,14.2,0.263,0.7,1.5,0.5,3,12.7,0.235,1.1,2.3,0.5,2.3,3.4,5.6,1.5,1.1,0,2.3,2.6,9.4
7.0,0.0,5,15.0,0,9.6,0,0,0,0,0,9.6,0,2.4,4.8,0.5,0,2.4,2.4,0,2.4,2.4,4.8,7.2,2.4
4.0,0.0,5,10.0,0,7.2,0,0,0,0,0,7.2,0,0,0,0,0,3.6,3.6,0,0,3.6,7.2,3.6,0
3.0,0.0,5,5.0,0,14.4,0,0,0,0,0,14.4,0,7.2,14.4,0.5,0,0,0,0,7.2,0,0,14.4,7.2
40.0,28.0,5,533.0,4.5,9,0.504,0,0,0,4.5,9,0.504,2.4,4.1,0.59,2.5,6.1,8.6,1.2,0.6,1.5,1.6,5.3,11.5
39.0,0.0,4,307.0,4.7,14.3,0.328,0.4,1.3,0.273,4.3,13,0.333,2.7,3.4,0.793,2.8,4.6,7.4,1.2,0.7,0.9,2,5.9,12.4
80.0,44.0,3,2073.0,4.5,11.2,0.406,1.8,4.2,0.419,2.8,7,0.399,2,2.8,0.708,0.9,5.3,6.2,2.7,1.4,0.6,1.6,2.9,12.8
4.0,0.0,3,28.0,3.9,11.6,0.333,0,1.3,0,3.9,10.3,0.375,2.6,5.1,0.5,1.3,5.1,6.4,2.6,2.6,1.3,3.9,3.9,10.3
39.0,29.0,1,1255.0,5.4,13.7,0.39,1.3,4.3,0.307,4,9.4,0.429,2,2.8,0.707,0.5,2.5,3,5.9,0.6,0.1,2.2,1.6,14.1
72.0,62.0,3,2340.0,6.3,13.9,0.454,1.4,3.6,0.399,4.9,10.3,0.473,3.8,4.5,0.859,2.3,5.4,7.7,1.8,1,0.5,2.6,3.3,17.9
47.0,47.0,3,1574.0,6.2,14,0.445,1.4,3.7,0.373,4.9,10.3,0.471,3.7,4.6,0.819,2.2,5.6,7.8,1.9,1.2,0.4,2.7,3.5,17.6
25.0,15.0,3,766.0,6.4,13.6,0.472,1.6,3.4,0.458,4.9,10.2,0.477,4,4.3,0.945,2.4,5,7.4,1.7,0.8,0.7,2.3,3,18.5
71.0,6.0,1,1271.0,3,7.8,0.386,0.1,0.6,0.15,2.9,7.3,0.405,1.5,1.9,0.779,0.3,2.9,3.3,5.5,1.2,0.1,2.4,3.6,7.6
66.0,43.0,5,1606.0,3.4,6.7,0.507,0,0,0,3.4,6.7,0.507,3,4.1,0.74,2.8,4.9,7.7,1.3,0.9,0.6,1.7,5.8,9.8
1.0,0.0,5,3.0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0
61.0,56.0,1,2126.0,6.3,13.5,0.465,0.3,0.9,0.302,6,12.6,0.477,3.9,5.3,0.747,1.4,2.7,4.2,4.7,1.5,0.6,3.3,2.4,16.8
44.0,4.0,2,708.0,5.7,15.6,0.366,1.6,4.4,0.36,4.1,11.2,0.368,1.6,2.4,0.681,0.5,2.5,2.9,2.6,1.3,0.4,2.1,4.5,14.6
82.0,82.0,4,2840.0,6.1,14.3,0.428,1,3.9,0.269,5.1,10.4,0.487,1.3,2.4,0.554,2.5,6.2,8.7,4.7,0.8,0.8,2.6,2.7,14.6
33.0,0.0,4,418.0,3.3,8.5,0.384,0,0.2,0,3.3,8.4,0.392,2.5,3.8,0.659,3.6,6,9.6,0.5,0.8,0.9,1.3,4.7,9
81.0,81.0,5,3050.0,3.7,8.8,0.421,0,0.1,0.125,3.7,8.7,0.424,1.7,3.4,0.49,3.8,8,11.9,1.6,1.7,2.9,1.5,1.9,9.1
37.0,1.0,3,337.0,3.4,9.5,0.36,0,0.2,0,3.4,9.3,0.368,1.2,2.6,0.458,3.7,4.2,7.9,2,1.5,1.5,0.9,4,8
37.0,0.0,3,368.0,6,14.2,0.421,0.5,1.3,0.385,5.5,12.9,0.424,3,3.9,0.775,1.2,4.6,5.8,1.4,0.5,0.8,2.3,3.7,15.5
68.0,66.0,4,2390.0,6.4,14.7,0.436,1.2,3.7,0.331,5.2,10.9,0.472,2.3,3.2,0.736,1.5,5.4,6.9,2.3,0.9,1.8,1.8,2.9,16.4
45.0,44.0,4,1675.0,6.4,14.4,0.442,1.3,3.7,0.341,5.1,10.7,0.478,2.5,3.3,0.742,1.5,4.9,6.4,2.5,0.8,1.5,1.9,2.8,16.5
1.0,1.0,4,42.0,6.9,20.6,0.333,0.9,5.1,0.167,6,15.4,0.389,2.6,2.6,1,0.9,4.3,5.1,1.7,0.9,4.3,2.6,0,17.1
22.0,21.0,4,673.0,6.5,15,0.431,1.2,3.7,0.319,5.3,11.3,0.467,2,2.9,0.704,1.7,6.6,8.3,2.1,1.3,2.4,1.6,3.2,16.2
72.0,2.0,4,730.0,3.2,7.5,0.425,0.6,1.9,0.333,2.6,5.6,0.456,1.5,2.2,0.705,1.9,4.3,6.3,5.6,1.4,0.4,2.2,3.5,8.6
71.0,10.0,1,1252.0,4.6,11.2,0.41,2.4,5.9,0.408,2.2,5.3,0.413,0.6,0.8,0.741,0.3,3.8,4.1,6.2,1.8,0.3,2.8,3.1,12.2
35.0,10.0,1,827.0,5,11.3,0.442,2.6,6,0.428,2.4,5.3,0.459,0.7,0.9,0.762,0.4,3.7,4.2,7.4,2,0.3,3,3.2,13.3
36.0,0.0,1,425.0,3.8,11,0.346,2.1,5.8,0.368,1.7,5.3,0.323,0.3,0.5,0.667,0.2,3.9,4.1,3.8,1.4,0.3,2.3,2.8,10.1
81.0,14.0,1,1669.0,3.7,10,0.371,0.6,2.3,0.245,3.1,7.7,0.408,1.9,3,0.652,1.1,2.8,3.8,8.7,2,0.4,3.1,3.8,9.9
52.0,1.0,4,868.0,4.3,8.8,0.493,0,0,0,4.3,8.7,0.495,2.2,3,0.736,3.1,5.4,8.5,1.2,1.2,0.6,1.5,3.1,10.8
15.0,1.0,4,216.0,3,6.7,0.45,0,0,0,3,6.7,0.45,3,3.2,0.947,2.3,6,8.3,2.2,1.3,0.3,1.5,3.2,9
37.0,0.0,4,652.0,4.7,9.4,0.503,0,0.1,0,4.7,9.4,0.506,1.9,2.9,0.66,3.3,5.2,8.5,0.9,1.2,0.7,1.4,3.1,11.4
23.0,23.0,4,831.0,7.5,18.2,0.413,0,0.2,0.2,7.5,18,0.416,3.5,4.9,0.711,2.1,6.6,8.7,4.5,1.3,0.9,2.6,3.3,18.6
72.0,27.0,2,1872.0,7,16.3,0.427,0.4,1.3,0.319,6.6,15,0.437,2.7,3.5,0.754,1.5,3.5,5,2.7,1.7,0.4,3.1,3.8,17
13.0,10.0,2,404.0,6.1,15.6,0.389,0.1,0.7,0.125,6,14.9,0.401,1.9,2.4,0.778,1.9,3.6,5.4,3.1,1.8,0.3,2.9,3.4,14.1
59.0,17.0,2,1468.0,7.2,16.6,0.437,0.5,1.5,0.344,6.7,15.1,0.446,2.9,3.8,0.75,1.4,3.5,4.9,2.6,1.7,0.4,3.2,3.9,17.9
81.0,68.0,2,2179.0,4.3,10.1,0.428,1.1,3,0.381,3.2,7.1,0.448,2.5,3.4,0.743,1,3.9,4.9,3,1.7,0.1,2.1,2.9,12.3
61.0,60.0,2,2001.0,5.6,14.4,0.389,1.7,5.1,0.323,3.9,9.3,0.425,2.5,3.3,0.753,0.5,1.9,2.4,3.1,1.3,0.3,1.8,2.6,15.3
71.0,1.0,4,930.0,4.2,8.8,0.474,0,0.1,0,4.2,8.7,0.478,2.2,3.1,0.713,4.5,7,11.5,2.3,1,1.1,1.9,4.5,10.6
62.0,17.0,5,865.0,4.1,7.9,0.521,0,0,0,4.1,7.9,0.521,2.6,5.2,0.5,4,6.8,10.9,0.3,1,2.1,2.7,7.3,10.9
1.0,0.0,5,4.0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,9,0,0
61.0,17.0,5,861.0,4.1,7.9,0.524,0,0,0,4.1,7.9,0.524,2.6,5.3,0.5,4.1,6.9,10.9,0.3,1,2.1,2.7,7.4,10.9
72.0,0.0,3,985.0,7.9,17.1,0.459,1.2,3.2,0.379,6.7,13.9,0.478,2.9,3.8,0.75,1.6,4.4,6,2.2,1.2,0.7,2.9,3.8,19.8
16.0,5.0,1,186.0,3.3,8.7,0.378,1.5,3.5,0.444,1.7,5.2,0.333,1,1,1,0.6,2.3,2.9,2.7,1.2,0.4,1.2,1.2,9.1
65.0,17.0,5,1340.0,6.1,11.7,0.521,0,0,0,6.1,11.7,0.522,2.8,4,0.7,3.4,4.8,8.2,1.4,0.8,0.5,2.1,4.9,15
26.0,0.0,1,145.0,4.2,8.9,0.472,1.5,2.5,0.6,2.7,6.5,0.423,2.5,3,0.833,0.7,3.2,4,4.2,0.7,0,1.7,3.7,12.4
72.0,7.0,5,1337.0,4.6,9.2,0.503,0,0.1,0.333,4.6,9.1,0.504,2.8,4.2,0.677,2.7,5.2,7.9,2.2,0.9,1.2,2.4,5,12.1
56.0,54.0,2,1730.0,4.2,10.3,0.405,0.5,1.9,0.292,3.6,8.5,0.43,1.4,1.8,0.776,0.4,2.7,3.1,4.7,1.1,0.2,1.6,2.4,10.3
71.0,36.0,3,1886.0,4.4,11.4,0.386,0.7,2.4,0.276,3.7,9,0.416,4.1,5.4,0.76,1.2,4.2,5.5,2.3,1.3,0.2,1.7,3.4,13.6
21.0,0.0,3,513.0,5.4,12.4,0.435,0.8,2.2,0.344,4.6,10.2,0.455,5.5,7.6,0.716,1.5,5.2,6.7,1.8,1.5,0.1,2.2,3.6,17.1
50.0,36.0,3,1373.0,4,11,0.366,0.6,2.5,0.253,3.4,8.5,0.399,3.6,4.6,0.787,1.2,3.9,5,2.5,1.3,0.2,1.5,3.4,12.3
56.0,3.0,1,714.0,4,10.5,0.385,0.9,3,0.3,3.1,7.5,0.419,2.1,2.4,0.854,0.4,2.3,2.7,6.1,1.3,0.3,3.2,2.9,11
72.0,68.0,1,2115.0,4.9,12.1,0.407,2,6.2,0.33,2.9,5.9,0.487,1.4,1.7,0.837,0.4,2.1,2.5,8.4,1.6,0.1,2.3,1.7,13.3
68.0,44.0,4,1637.0,3.5,7.4,0.47,0,0.2,0,3.5,7.2,0.482,2.3,3.4,0.684,3.9,6.6,10.4,1.6,2,0.2,1.6,2.9,9.3
15.0,12.0,4,407.0,2.5,5,0.491,0,0.1,0,2.5,5,0.5,1.9,2.6,0.724,3.1,8.2,11.3,1,1.7,0.3,2,2.7,6.8
