G,GS,Position,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
63,63,3,2474,6.6,14.2,0.463,0.3,1,0.25,6.3,13.1,0.48,4.1,4.8,0.863,2.1,4.7,6.8,3.4,1.9,0.2,2.6,2.7,17.5
75,69,2,2479,5.9,13.7,0.433,1.5,4.5,0.322,4.5,9.2,0.488,3.5,4.3,0.813,0.9,2.3,3.2,4.2,1.2,0.5,2.7,2.9,16.9
79,79,4,2483,5.1,10.4,0.492,0,0.1,0,5.1,10.3,0.495,2,2.9,0.68,2.7,6.8,9.5,1.4,0.7,0.4,1.6,3.4,12.2
65,65,3,2486,10,21,0.476,0.6,2.2,0.268,9.4,18.9,0.499,6.6,8.2,0.808,2.1,3.6,5.7,3.6,1.1,0.3,3.4,2.9,27.2
77,77,1,2499,8.2,15.8,0.52,0.2,0.5,0.395,8,15.2,0.525,3.9,5,0.783,0.5,3.1,3.6,6.1,1.2,0.1,2.8,2,20.6
81,53,3,2508,6.8,12.4,0.548,0,0.3,0.158,6.8,12.2,0.557,3.5,5.4,0.641,2.7,3.6,6.3,3.3,1.6,0.4,2.9,3.3,17.1
73,73,5,2525,4.2,6.7,0.624,0,0,0,4.2,6.7,0.625,1.5,2.9,0.527,4.6,8.3,12.9,0.9,0.5,1.8,1.8,3.5,9.8
70,70,1,2533,4.9,11.6,0.427,1.5,4.5,0.345,3.4,7.1,0.479,5.5,6.2,0.883,0.3,3,3.4,7.1,1.2,0.2,2,2.3,16.9
82,82,5,2535,5.1,9.3,0.541,0,0,0,5.1,9.3,0.543,2.4,3.2,0.746,3.4,7,10.4,0.9,0.7,2.3,2.3,4.1,12.5
71,71,2,2539,9,21,0.431,1.8,5.4,0.331,7.3,15.6,0.466,4.9,6.9,0.707,0.8,4.6,5.4,6.5,1.3,0.5,3,1.9,24.8
82,81,5,2544,6,11.9,0.509,0.1,0.4,0.29,5.9,11.4,0.517,2.1,2.8,0.754,1.9,5.2,7.1,0.9,0.6,0.8,2.3,3.4,14.3
74,74,4,2557,9.1,16.2,0.561,0,0,0,9.1,16.2,0.561,3.6,5.2,0.685,3.3,8.9,12.2,3.1,1,0.3,2.7,3.1,21.8
78,78,4,2563,7,15.2,0.457,1.8,4.1,0.433,5.2,11.1,0.466,2.4,3.4,0.694,2.1,4.8,7,2.1,0.9,0.3,2.4,3.8,18
75,75,3,2575,5.7,12.6,0.452,0,0,0,5.7,12.6,0.452,3,4.5,0.663,1.7,3.1,4.8,1.6,0.7,0.3,2.7,2.4,14.4
82,49,2,2580,5.4,11.9,0.452,1,3.1,0.313,4.4,8.7,0.502,2.9,3.8,0.784,1.2,4.8,6,3.2,1.2,0.3,2.1,2.8,14.6
82,81,4,2586,6,11.4,0.529,0,0.1,0,6,11.3,0.533,3.3,4.9,0.684,2.5,6.3,8.8,1.1,1,0.5,1.8,3.5,15.4
70,68,2,2596,5.3,13.2,0.4,1,3.1,0.333,4.3,10.1,0.42,2.9,4.3,0.676,0.6,3.1,3.7,3.6,1.2,0.4,2.1,2.3,14.5
80,18,2,2613,7.3,15.3,0.476,2.6,6,0.434,4.7,9.3,0.504,2.7,3.2,0.845,0.3,2.6,2.9,4.4,1.3,0.2,2,2.9,19.9
77,53,2,2638,6.6,13.8,0.475,0.5,2,0.273,6,11.8,0.509,3.7,4.9,0.763,0.8,2.5,3.3,4.4,1.8,0.3,3,2.9,17.4
72,71,3,2640,6.5,13,0.502,0.5,1.6,0.325,6,11.3,0.528,4.2,6.1,0.691,1.9,5.1,7.1,2.5,2,0.9,2.2,2.8,17.8
70,65,3,2641,6.2,14.2,0.44,1.3,3.5,0.358,5,10.6,0.468,4.2,5.7,0.74,1.4,4.8,6.2,3.2,2,0.6,2,2.8,17.9
72,72,3,2647,5.9,13.5,0.439,0.5,2.1,0.25,5.4,11.4,0.473,3.6,5.3,0.693,2.2,6.2,8.4,3.2,1.4,2.8,3.1,3.3,16
79,79,1,2651,4.3,9.6,0.454,0.9,2.4,0.35,3.5,7.1,0.49,3.3,3.8,0.871,0.2,2.6,2.8,5.7,1.2,0.1,2.5,2.7,12.8
69,69,5,2658,7.4,14.8,0.496,0.2,0.5,0.343,7.2,14.3,0.501,6.3,8,0.785,2.5,7.5,10,2.4,0.5,1.2,2.4,2.2,21.1
70,70,4,2662,6.9,15.4,0.45,1.9,5.1,0.364,5.1,10.3,0.492,3.1,4.2,0.736,1.8,5.8,7.6,1.8,1.1,0.5,1.4,2.6,18.8
80,80,5,2664,6.6,14.3,0.462,1.7,4.5,0.384,4.9,9.8,0.498,4,5.2,0.765,2.2,5.7,7.8,2.1,0.5,0.5,1.7,3.5,19
76,76,1,2682,6.9,13,0.532,2.1,4.6,0.455,4.8,8.4,0.575,3,3.3,0.899,0.4,3.2,3.6,11.9,0.8,0.1,3.9,1.6,19
82,78,5,2689,8.1,14.1,0.575,0,0,0,8.1,14.1,0.577,6.1,7.8,0.781,3,7.6,10.5,1.1,1,1.5,3.1,3.9,22.4
77,77,5,2697,2.6,5.7,0.453,0,0.1,0.2,2.5,5.6,0.456,1.5,3.6,0.408,4,6.9,11,2.5,1.5,2.1,1.3,2,6.6
82,51,2,2704,8.1,17.8,0.455,2.1,5,0.413,6,12.8,0.471,5.1,5.9,0.864,0.5,3,3.4,3.9,0.9,0.2,3.3,3.4,23.3
80,80,5,2726,8.2,14.9,0.546,0,0.1,0.111,8.1,14.8,0.55,4.8,7.5,0.637,2.8,8.4,11.2,3.6,0.9,2.5,3,2.7,21.1
70,69,2,2740,6.1,13.3,0.46,2.7,6.5,0.406,3.5,6.7,0.514,2.1,2.7,0.793,0.7,4.3,5,3.9,0.7,0.2,2.4,1.8,17
74,74,1,2748,5.2,12.5,0.415,1.6,4.5,0.357,3.6,8,0.448,3.9,5.1,0.769,0.5,2.3,2.8,5.3,0.9,0.1,2.3,2.4,15.9
75,75,2,2763,7.1,15.2,0.468,0.6,1.7,0.341,6.6,13.6,0.483,4.5,5.3,0.861,1,2.7,3.7,3.7,0.8,0.2,2.1,3,19.3
82,82,1,2784,6.1,15.1,0.404,2.2,6.2,0.36,3.9,8.9,0.435,3.7,4.5,0.83,0.5,2.9,3.4,5,1.1,0.1,2.5,1.8,18.1
82,57,3,2785,5.1,11.2,0.459,1.4,3.7,0.382,3.7,7.5,0.497,3.1,3.8,0.803,1.5,3.5,4.9,1.5,0.9,0.8,1.7,3.2,14.8
80,80,2,2818,6.5,13.6,0.473,1.6,4.3,0.381,4.8,9.4,0.515,6.1,7.3,0.844,0.9,3.5,4.4,2.2,1.3,0.1,1.7,2.3,20.7
78,78,4,2820,8.6,17.1,0.502,0.9,2.2,0.416,7.7,14.9,0.515,6.4,7,0.904,1.6,7.3,8.8,3.4,0.7,0.8,2.1,2.2,24.5
78,75,1,2832,5,13,0.384,1.3,4,0.33,3.7,9.1,0.407,2.6,3.3,0.797,0.6,2.7,3.4,6.9,1.5,0.1,2.9,2.3,13.9
80,80,1,2839,6,13.5,0.448,1.8,4.3,0.415,4.2,9.2,0.463,3,3.6,0.835,0.4,3.1,3.5,6.3,1.3,0.3,2.4,3.5,16.8
78,73,2,2841,4.9,11.2,0.44,1.3,3.1,0.411,3.6,8.1,0.451,2.5,3,0.837,0.7,2.7,3.4,2.5,1.2,0.3,1.8,2.4,13.6
81,80,2,2846,6.5,13.4,0.484,2,4.7,0.438,4.5,8.8,0.508,2,2.5,0.804,0.5,2.4,2.9,5.3,1,0.2,1.9,2.2,17.1
82,64,2,2848,5.4,12.3,0.437,1.6,4.6,0.352,3.8,7.7,0.488,1.7,2.1,0.78,0.7,2.3,3,3.1,1.2,0.1,1.3,2.7,14
81,81,5,2849,7.4,12.8,0.576,0,0,1,7.4,12.8,0.575,5.1,8.3,0.615,2.5,4.8,7.2,0.9,0.4,0.5,3.7,3.3,19.9
78,78,2,2917,5.1,11.7,0.432,2.5,6.1,0.413,2.5,5.6,0.452,1.5,1.9,0.776,0.6,2.5,3.1,2.4,0.6,0.3,1,2.9,14.1
80,80,1,2933,4.5,11.1,0.406,1.5,4.4,0.343,3,6.7,0.448,2.2,2.8,0.778,1.7,6.4,8,9,1.6,0.3,2.6,1.8,12.8
74,73,1,2942,7.9,18.9,0.418,2.5,7.1,0.351,5.4,11.8,0.459,7.4,8.8,0.844,0.7,3.4,4.1,5.4,1.7,0.2,2.9,3,25.8
80,80,1,2950,6,13.2,0.456,1,3.1,0.322,5,10.1,0.498,2.8,3.6,0.767,0.5,2.8,3.3,9.1,1,0.2,3,3.1,15.8
80,79,1,2966,5.1,11,0.466,0.1,0.4,0.143,5.1,10.6,0.479,2.7,3.4,0.784,1.2,3.1,4.3,7.6,1.3,0.1,2.7,2.2,13
82,82,3,2988,3.5,7.9,0.446,1.9,4.5,0.421,1.6,3.4,0.48,1.1,1.4,0.779,0.8,3.3,4.1,2.1,1,0.7,0.9,2.3,10
76,76,4,2995,7.7,16.1,0.476,0.1,0.7,0.214,7.5,15.4,0.487,5,6,0.835,2.2,9.5,11.7,3.8,1.1,1.5,2.5,2.2,20.5
82,82,3,3001,5.5,12,0.46,1,2.5,0.386,4.5,9.4,0.48,2.1,2.7,0.768,1.7,3.4,5.1,2.7,0.6,0.7,1.2,1.4,14
80,80,3,3010,6.7,12.8,0.524,1,3,0.317,5.8,9.8,0.587,2.4,3,0.81,2.1,7.3,9.4,1.6,1.9,1.5,1.4,2.6,16.8
81,81,3,3021,6,13,0.465,1.5,3.7,0.397,4.6,9.3,0.492,2.8,3.4,0.839,0.6,3.1,3.8,4.6,1,0.3,2.5,2.3,16.4
82,82,5,3023,6.3,10.4,0.603,0,0,0.5,6.3,10.4,0.603,4.6,7.9,0.586,3.4,8.6,12,1.9,0.8,1.9,3.8,2.9,17.2
82,82,1,3040,4.5,12.1,0.375,2.3,6.3,0.363,2.3,5.8,0.389,1.5,2.1,0.734,0.3,3,3.3,5.3,1.5,0.1,2,2.3,12.9
76,76,2,3062,5.2,11.7,0.447,0.6,1.8,0.31,4.6,9.8,0.472,5.3,6.5,0.82,0.9,4.2,5.1,5.1,1.8,0.4,3.1,2.4,16.3
82,82,3,3071,7.4,14.3,0.517,0,0.1,0.143,7.4,14.2,0.519,3.3,4.2,0.777,1.7,5.1,6.8,2.4,1.1,0.6,1.8,2,18.1
80,80,4,3077,7.5,14.2,0.533,0,0,1,7.5,14.2,0.532,4.1,5.4,0.761,3.1,5.6,8.7,2.7,0.9,2.1,2.4,2.8,19.2
82,82,2,3126,8.4,18.4,0.454,1.8,5,0.357,6.6,13.4,0.491,5.3,6.6,0.802,1.3,4.4,5.7,4.5,0.9,0.3,2.5,3.1,23.8
77,77,2,3140,9.3,20.1,0.463,1.6,4.6,0.344,7.8,15.6,0.497,7.6,8.8,0.868,0.9,4.2,5,4.7,1.3,0.4,2.9,2.4,27.9
78,78,3,3190,8.7,18.3,0.476,1.1,3.5,0.319,7.6,14.8,0.513,5.5,7.9,0.698,0.9,5,5.9,5.3,1.4,0.6,2.8,1.9,24.1
